datetime,0310162,0310174,0310177,0310179,E206271,E207417,E207418,E209177,E209178,E220891,E223756,E231866,E232245,E232246,E238212,E242892,E275843,E283549,E289309,E316370
2021-01-03 22:00:00,0.1741444,0.1775278,0.1417278,0.1720833,0.1660083,0.1611194,0.1661942,0.1577325,0.1560639,,0.138938,0.15297,0.150748,0.1905956,,0.1644167,,0.1364722,0.159253,0.2917
2021-01-03 23:00:00,0.1582258,0.1503125,0.1375618,0.1694514,0.1351306,0.1483333,0.1427194,0.1520278,0.1552872,,0.146076,0.141932,0.1401959,0.1733478,,0.1621528,,0.14225,0.129249,0.2622021
2021-01-04 00:00:00,0.1640528,0.1421667,0.1365083,0.1652778,0.1190111,0.1487222,0.1437917,0.1464501,0.1602444,,0.1419636,0.134176,0.1436335,0.1771711,,0.1746389,,0.1386667,0.123997,0.2444694
2021-01-04 01:00:00,0.1702935,0.1485507,0.1598261,0.2521015,0.1103587,0.127221,0.1320254,0.1349556,0.1543732,,0.1412325,0.134147,0.1389427,0.1667906,,0.1811232,,0.1351087,0.118141,0.2317355
2021-01-04 02:00:00,0.1406304,0.1543043,0.1443768,0.1613044,0.1112833,0.1384493,0.1257138,0.1350854,0.1550239,,0.1223504,0.122288,0.1443289,0.164204,,0.1563768,,0.1311956,0.123543,0.2129565
2021-01-04 03:00:00,0.1431597,0.1313542,0.1376132,0.1353125,0.1028576,0.1275938,0.1231354,0.1316246,0.1417368,,0.1231616,0.119281,0.1265453,0.1520685,,0.1540972,,0.1240625,0.123948,0.2103958
2021-01-04 04:00:00,0.1353732,0.1308333,0.1293442,0.1270192,0.1039964,0.1272971,0.1242391,0.1349036,0.1422754,,0.122157,0.114541,0.125219,0.1356402,,0.1555797,,0.1206884,0.130344,0.2031594
2021-01-04 05:00:00,0.1376522,0.1461522,0.1316739,0.1615385,0.1089239,0.1428478,0.1216884,0.1320044,0.1444312,,0.1179892,0.112277,0.122658,0.1333855,,0.1519565,,0.1251812,0.128665,0.2036123
2021-01-04 06:00:00,0.1378306,0.1394722,0.1427056,0.2247778,0.1105889,0.1329944,0.1220167,0.1457692,0.1386055,,0.1201627,0.125097,0.1372038,0.1378056,,0.15925,,0.1200556,0.127808,0.2248444
2021-01-04 07:00:00,0.1505333,0.1607986,0.1671514,0.1725069,0.1391667,0.1401979,0.1261701,0.1527279,0.14475,,0.1228864,0.144832,0.1471925,0.1435962,,0.1664583,,0.1209722,0.122038,0.251875
2021-01-04 08:00:00,0.1518778,0.2021389,0.1534806,0.2102778,0.1571,0.1513722,0.1526694,0.1835692,0.1567222,,0.1305281,0.273858,0.1607006,0.1709833,,0.1952778,,0.1295833,0.116806,0.3497222
2021-01-04 09:00:00,0.1664417,0.29175,,0.1606945,0.186075,0.1704,0.1859056,0.2067085,0.1734056,,0.1295613,0.251522,0.2174723,0.2125744,,0.2407778,,0.1392222,0.120353,0.4530028
2021-01-04 10:00:00,0.1679556,0.3110278,,0.1673333,0.1676833,0.2088417,0.1815778,0.2241898,0.1748306,0.0512274,0.1324947,0.212081,0.174748,0.2703208,,0.3133056,,0.1566389,0.118033,0.5589833
2021-01-04 11:00:00,0.2003558,0.3248264,,0.1610486,0.1719826,0.2129653,0.1742361,0.2337236,0.1658674,0.0749253,0.128928,0.201065,0.157479,0.2430827,,0.3125347,,0.1586181,0.135026,0.5585694
2021-01-04 12:00:00,0.2248389,0.2232222,0.2207938,0.3542222,0.1623639,0.2023833,0.2115861,,0.1610167,0.0879528,0.1311087,0.167962,0.2007508,0.2055161,,0.2876389,,0.1334167,0.13325,0.4034556
