EMS_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E206589,2.71524505828777,2.3579315348195733,3.9653797628571428,2.170038698955723,2.975350657579062,2.809545261339093,2.1604326214362657,2.5572421358613218,3.42142461825,,,,
E206898,5.637690357604018,,,,,,,,,,,,
E207417,9.337155803415824,9.423269565217392,9.467122327374694,8.504061624649859,9.284498587570623,7.629250276847826,7.427611825367904,8.526306706198788,7.771621877099237,7.009789867923234,6.44144153895066,6.581991919807758,6.828019759333104
E207418,11.238171667829727,11.874442119944213,12.650514366796738,11.341544374563242,12.056710709318498,11.139356498422712,9.271273246939502,11.332810051406739,10.550089173099416,8.6792882439356,8.565535041133773,8.524627415625,9.030714792091572
E207723,10.292572023602917,10.859784871616933,12.40320111343076,10.577524544179523,12.128497049635541,11.59377446517326,10.078809308685036,11.618294029207231,10.834798777407153,7.698470024903543,8.07487472538434,8.433843923512647,9.033624302781593
E208096,5.9974187047824525,5.335516700959693,7.140601328467153,5.111962325441712,6.159437193635027,4.991470908874955,4.164242228681318,5.59477613954204,5.710933743854649,3.9895096145051805,,,
E209177,9.907284768211921,9.653725626740947,11.354433929197336,9.912212142358689,11.091178546224418,10.790732557588804,8.950654153918824,11.973212391948413,10.320849027592146,8.478410605341658,7.715339417697595,8.243984906284723,9.719947534545454
E209178,5.1102873359347285,5.150383275261325,5.832948986722572,5.147838214783821,5.457433660487095,5.072681460750614,4.8642740146102765,5.641256004794996,4.892479288389121,3.825552441985522,4.43306623883362,4.810543495622435,5.043843510661639
E220217,4.369402115,3.0368551282181087,4.281298643086696,3.3894485614977956,,,,,,,,,
E220891,7.452369252369252,7.5414305949008495,7.722394259818731,6.8689993002099365,7.113559915907498,8.691257302579505,7.680261242114507,9.492331432996869,8.638853165103255,6.9798239290853035,6.418702432956492,7.626579826700855,7.435523480384088
E222520,4.7510971679144385,5.814628265967914,3.7878737214577907,3.6975912461219775,0.7469982356862745,,,,,,,,
