datetime,0310162,0310174,0310177,0310179,0450307,0550502,0605008,E206270,E206271,E207417,E207418,E207723,E209177,E209178,E220891,E223756,E227431,E229797,E231866,E232244,E232245,E232246,E238212,E240337,E242892,E249492,E283549,E285829,E286369,E289309,E293810,E299830,E300350,E302130,E304570,E308566,E316370
2022-01-01 23:00:00,19.21099,31.04417,36.41568,31.06958,36.77083,33.0728,35.53599,35.85995,25.0466,31.9861,28.25814,26.71639,34.13911,27.9402,11.25456,19.96085,22.69441,28.33968,23.93625,33.85659,16.06827,31.07243,16.72386,23.16917,31.68104,14.0775,36.65465,30.50667,19.76,25.51559,27.40694,27.16083,17.06243,20.97347,20.79927,19.2,28.18504
2022-01-02 00:00:00,26.29096,32.23806,38.02402,31.14886,37.41777,34.05273,35.63917,36.93671,27.61107,33.46156,30.23294,26.7163,34.67602,26.37257,10.64323,22.01342,26.95192,28.28889,7.648748,32.39565,20.12339,32.87786,15.52852,21.49181,33.03243,20.81111,36.12647,28.57639,20.62611,25.59872,22.82278,27.54806,19.23136,26.18374,26.2656,17.43,30.46457
2022-01-02 01:00:00,32.67226,30.94529,37.62416,34.50866,36.67194,33.43457,35.54067,36.22176,30.50121,34.82717,29.31582,32.02306,34.39309,26.60884,17.16981,23.57888,27.0334,27.18251,23.58944,30.47363,27.4777,34.67731,22.70926,15.82375,36.07893,23.23444,35.42091,26.85778,20.83444,26.88206,23.72305,28.93889,17.42966,17.37481,28.04111,,30.71993
2022-01-02 02:00:00,27.47018,29.19058,35.68926,32.60531,36.04055,33.68336,34.92542,35.19507,34.67908,33.08432,29.17232,35.90221,33.62611,31.9214,18.14464,23.00118,24.79052,25.60247,24.01222,36.81799,29.89031,34.9201,26.53521,13.09305,35.64876,25.90472,34.64027,24.36472,20.25417,30.2896,23.63297,29.23306,18.21638,16.25402,30.78472,21.33,29.48098
2022-01-02 03:00:00,31.57262,30.46778,35.1143,29.5857,35.74111,33.26111,32.83935,35.61074,38.37207,32.20086,25.72329,32.79869,31.90375,39.58377,19.71314,25.4225,17.77152,21.20465,22.93556,37.38527,27.69195,31.51259,27.32328,29.63736,34.04654,23.23778,34.16936,19.90444,20.99806,39.04326,25.44674,,16.60198,17.17038,28.1605,,27.70654
2022-01-02 04:00:00,30.51541,27.20217,34.291,28.71948,35.02,32.14589,33.30992,35.57027,33.88857,31.57932,26.16886,32.84464,30.74132,34.15562,20.65768,22.08903,16.59494,27.17697,24.89694,36.96908,27.97993,32.38827,26.39433,37.12778,30.48431,18.84222,34.81755,21.61056,22.24889,37.32648,25.38515,28.25667,15.58955,14.47242,19.38611,,26.8061
2022-01-02 05:00:00,25.46464,20.99601,33.70184,25.39699,34.63028,27.25596,34.1785,34.94558,33.77044,30.65594,25.55435,27.25112,30.25612,32.26727,22.69525,23.11018,17.40242,27.66255,28.89361,36.01435,29.28393,30.47897,30.24649,33.94292,29.96812,14.84,34.81115,,23.66639,31.84107,28.97573,28.86278,15.0452,24.57836,17.45667,22.93,25.17279
2022-01-02 06:00:00,22.36787,20.5825,33.766,26.62342,30.61389,24.01312,31.83533,35.31691,32.67207,24.56182,24.25065,26.61944,31.06472,31.29605,23.47063,22.67051,6.686407,27.0006,30.10486,35.66463,27.57688,28.79444,30.63185,29.18569,26.1463,23.21694,35.64255,32.95111,21.02522,30.04544,29.42167,29.35222,19.17514,16.79865,12.57028,17.42,23.4085
2022-01-02 07:00:00,13.72562,21.94222,33.71581,26.28185,33.55583,23.77148,32.79132,34.27659,28.43784,19.13236,23.77645,28.87603,31.66134,25.73562,23.76683,22.88617,2.744944,26.66488,30.4157,34.45705,28.91026,25.83956,23.47681,20.98903,28.90761,24.29916,36.3788,33.69639,21.63939,23.89418,31.46333,29.18861,20.10876,23.23428,8.974444,13.36,22.05014
2022-01-02 08:00:00,8.511607,16.6942,31.33935,20.80683,24.09444,25.72035,32.1521,32.01018,26.06457,26.27069,27.90564,29.20964,31.37638,25.36671,22.83562,20.22404,19.43476,28.36369,29.92153,33.81433,27.73931,29.71219,17.21861,,29.64838,19.28833,37.01118,32.08611,18.42894,22.53655,32.94639,29.495,21.46525,28.8235,15.17994,12.39,13.12358
