datetime,0310162,0310177,0310179,0450307,0550502,0605008,E206271,E207417,E207418,E207723,E209177,E209178,E216670,E220217,E220891,E222520,E222778,E223615,E223616,E223756,E225267,E227431,E229797,E231866,E232244,E232246,E234670,E238212,E240337,E249492,E263701,E269223,E271963,E273483,E275843,E282711,E283549,E285829,E286369,E289309,E292149,E293810,E304570,M107004
2022-01-01 21:00:00,1.897111,1.575722,4.744945,2.140819,1.011901,2.377222,3.0865,1.148167,1.240861,4.178781,1.131111,4.489555,4.0,7.0,4.665528,8.687422,2.925518,5.0,3.0,8.764833,2.763221,34.0,6.0,7.0,0.4995278,3.400333,5.0,9.483472,15.0,7.173139,50.33765,5.0,4.076427,3.004167,3.723806,3.0,3.392667,5.0,9.355875,7.469722,9.163893,7.850289,14.02835,6.283137
2022-01-01 22:00:00,3.610417,0.9748889,3.658933,2.050735,1.034124,2.094305,3.025306,0.9015278,0.9870555,3.954636,0.6903889,4.393111,3.0,6.0,5.765611,20.65324,2.733798,2.0,2.0,5.138611,2.403415,23.0,4.0,5.0,0.4515417,2.865806,6.0,9.643861,19.0,10.71236,55.88987,5.0,4.197766,2.001389,3.131167,5.0,3.322056,4.0,30.73135,7.471111,7.615581,4.744503,2.144069,8.850137
2022-01-01 23:00:00,6.161889,0.6705555,2.457314,1.921236,1.046833,2.279472,2.92375,0.7307778,1.137778,2.381644,0.2920833,6.810306,1.0,6.0,5.667389,19.67644,3.063352,1.0,0.0,6.394306,2.332055,11.0,3.0,3.0,0.5507917,2.674111,8.0,5.884111,7.0,9.414458,70.94569,5.0,4.291905,2.99861,,,2.867889,4.0,16.20757,4.556389,8.420497,3.066317,3.336266,10.66069
2022-01-02 00:00:00,2.10291,0.0,2.057933,1.86809,0.917739,2.171277,2.656608,2.249722,1.045639,1.868814,0.1062778,4.382444,2.0,4.0,9.535748,12.10623,3.270519,4.0,1.0,5.681,3.42038,7.0,10.0,6.0,0.6963277,2.618006,5.0,5.004278,6.0,6.198873,64.70211,5.0,,3.99861,,,4.142611,5.0,9.143387,3.453694,10.26632,4.025458,2.388144,34.68364
2022-01-02 01:00:00,0.31375,0.1280392,3.906675,2.382067,2.276736,1.597429,2.314691,3.740163,1.52802,1.651486,0.2683007,2.847105,1.0,2.0,4.904151,4.047618,3.110025,4.0,2.0,4.193693,4.998079,3.0,7.0,10.0,1.094904,6.196533,3.0,4.094444,3.0,4.807062,69.16003,5.0,,4.99861,2.561177,,4.950033,15.0,10.03653,3.141013,8.526589,2.741669,0.0,15.48555
2022-01-02 02:00:00,0.5817778,0.1838333,4.451889,2.876194,1.167582,1.230985,1.706,4.385139,1.669778,1.551597,0.3664167,1.831944,1.0,2.0,3.763361,3.559217,2.339973,5.0,3.0,4.018,4.518444,3.0,6.0,8.0,0.5881389,7.259666,2.0,3.495889,6.0,3.608513,65.4734,8.0,2.535429,6.99722,2.525861,,4.499,9.0,12.13972,2.431417,7.860501,2.9407,0.0,6.682304
2022-01-02 03:00:00,0.5731389,0.0,3.412264,3.228013,1.879554,1.405596,1.484528,5.875667,1.466667,1.818372,0.1638333,0.4833055,2.0,1.0,3.120944,10.88523,0.681632,3.0,3.0,2.779889,6.681471,7.0,5.0,6.0,0.4604445,5.274583,1.0,3.11175,12.0,4.384208,43.46107,12.0,2.217191,6.001389,1.830556,,5.668556,7.0,10.14748,0.620861,6.910271,1.47292,0.0,18.26858
2022-01-02 04:00:00,0.2758889,0.0,4.114666,3.397736,1.868569,1.604055,1.225583,1.614984,0.7494722,1.540421,0.0565833,1.511639,1.0,4.0,2.061222,8.687422,0.358734,2.0,0.0,3.111694,7.336165,7.0,3.0,5.0,0.0895,1.158528,0.0,2.685945,9.0,4.357832,48.92693,22.0,2.075687,5.001389,1.219806,,5.675278,8.0,10.42428,0.725056,6.592886,1.171253,0.0,8.374137
2022-01-02 05:00:00,0.2865556,0.0,3.453461,3.014401,2.465805,1.904513,0.7883334,0.89225,1.001639,1.366681,0.0005556,1.224806,0.0,3.0,1.596167,8.199023,0.319624,3.0,0.0,3.131972,6.988222,7.0,0.0,5.0,0.0,1.018056,4.0,2.270333,2.0,3.45068,57.08215,18.0,1.466843,3.002778,0.9934444,,5.376972,5.0,11.83057,1.113222,5.018842,0.8836855,0.0,8.006554
2022-01-02 06:00:00,0.3993333,0.3104444,2.6599,2.879221,4.131277,1.870916,0.6053611,3.251972,1.049528,1.10391,0.0,0.3100556,0.0,0.0,1.289639,4.536018,0.815876,3.0,1.0,7.842222,8.378472,8.0,2.0,5.0,0.0,1.345,4.0,2.3085,1.0,2.837471,46.18928,28.0,0.897832,3.99861,1.511694,,4.410472,3.0,14.08651,1.275139,5.168289,0.8949394,0.0,9.693887
2022-01-02 07:00:00,3.53275,0.3712778,2.862811,2.892472,3.191735,1.733137,1.288556,1.345417,0.9899445,0.854835,0.0235556,1.030028,4.0,5.0,1.31525,28.46764,0.423357,2.0,0.0,3.487306,6.914472,7.0,4.0,1.0,0.0,1.627306,6.0,2.758194,2.0,2.850596,40.16067,20.0,0.551147,4.99861,3.638111,,3.202083,2.0,7.676125,2.228055,9.031165,0.6364786,0.0,3.661998
2022-01-02 08:00:00,0.8869209,0.7865833,4.204236,2.67703,2.967041,1.992568,1.45386,1.172444,0.7902778,0.8395417,0.0,1.026167,1.0,4.0,2.027874,18.94383,0.750324,5.0,0.0,1.806556,8.150029,4.0,4.0,0.0,0.0,1.715298,7.0,3.180833,3.0,2.911721,43.21761,24.0,0.540252,4.001389,1.365972,,2.915722,1.0,14.03881,2.102861,5.23677,0.4194641,0.487158,8.351525
2022-01-02 09:00:00,1.437692,1.159739,3.512545,2.88877,6.520777,1.830193,1.292901,2.021667,0.7176079,0.8820681,0.0,0.7364314,1.0,3.0,2.45478,12.10623,1.477445,4.0,1.0,2.31402,10.15588,0.0,3.0,4.0,0.0,6.379812,7.0,3.376046,4.0,2.180888,43.13812,21.0,0.92496,10.99028,5.950033,,3.668464,2.0,8.198353,3.470229,8.7148,0.9607746,6.140818,3.801305
2022-01-02 10:00:00,2.182722,0.6295834,3.158017,3.57111,3.800165,1.895277,1.317694,4.128139,0.7769104,0.9669997,0.0,0.5376945,0.0,8.0,2.590972,6.73382,1.729524,3.0,0.0,2.354778,7.711944,0.0,0.0,4.0,0.0,3.178417,6.0,3.514722,5.0,1.871777,45.34397,14.0,0.98268,9.002778,5.148556,,3.812028,3.0,7.47811,2.343778,7.659947,1.627944,10.53134,6.410109
2022-01-02 11:00:00,1.168972,0.4111667,3.256589,3.74475,2.098429,2.263458,1.809306,4.180111,0.9405278,1.152479,0.0144444,0.47425,0.0,7.0,3.016556,5.024419,1.931668,5.0,0.0,2.801139,5.952166,0.0,0.0,4.0,0.0,4.674778,5.0,4.637645,6.0,2.302222,35.1003,9.0,1.742707,6.004167,5.062639,,4.236889,2.0,8.655262,2.408361,7.47229,2.148476,10.76221,21.20955
